Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,£psf pa,Address,url
The Refinery,Fresh ,Bronze En Suite,169.0,619.67,7436,44,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Bronze En Suite,164.0,697.0,8364,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Silver En Suite,171.0,627.0,7524,44,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Silver En Suite,166.0,705.5,8466,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Gold En Suite,174.0,638.0,7656,44,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Gold En Suite,169.0,718.25,8619,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Platinum En Suite,178.0,652.67,7832,44,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Platinum En Suite,173.0,634.33,7612,44,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Bronze Studio,210.0,892.5,10710,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Silver Studio,215.0,913.75,10965,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Gold Studio,220.0,935.0,11220,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,Platinum Studio,225.0,956.25,11475,51,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
The Refinery,Fresh ,2021-22 Rooms,159.0,583.0,6996,44,,,,"Bingley Street, Leeds, Leeds, LS3 1BZ",https://www.mystudenthalls.com/student-accommodation/leeds/the-refinery/
Study Inn Brotherton House,Study Inn,Gold en-suite serviced apartment,158.0,671.5,8058,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Gold Plus en-suite serviced apartment,163.0,692.75,8313,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Platinum en-suite serviced apartment,168.0,714.0,8568,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Platinum en-suite serviced apartment,173.0,634.33,7612,44,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Platinum Plus en-suite serviced apartment,173.0,735.25,8823,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Diamond en-suite serviced apartment,188.0,799.0,9588,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Sapphire en-suite serviced apartment,218.0,926.5,11118,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
Study Inn Brotherton House,Study Inn,Diamond Plus studio,231.0,981.75,11781,51,,,,"Brotherton House, Grace Street, Leeds, LS1 2RP",https://www.mystudenthalls.com/student-accommodation/leeds/study-inn-brotherton-house/
iQ Marsden House,iQ Student Accommodation,Bronze En Suite,161.0,590.33,7084,44,,,,"Marsden House, 1-3 Burley Road, Leeds, LS3 1JZ",https://www.mystudenthalls.com/student-accommodation/leeds/iq-marsden-house/
iQ Marsden House,iQ Student Accommodation,Bronze En Suite Plus,167.0,612.33,7348,44,,,,"Marsden House, 1-3 Burley Road, Leeds, LS3 1JZ",https://www.mystudenthalls.com/student-accommodation/leeds/iq-marsden-house/
iQ Marsden House,iQ Student Accommodation,Silver En Suite,178.0,652.67,7832,44,,,,"Marsden House, 1-3 Burley Road, Leeds, LS3 1JZ",https://www.mystudenthalls.com/student-accommodation/leeds/iq-marsden-house/
iQ Marsden House,iQ Student Accommodation,Silver En Suite Plus,186.0,790.5,9486,51,,,,"Marsden House, 1-3 Burley Road, Leeds, LS3 1JZ",https://www.mystudenthalls.com/student-accommodation/leeds/iq-marsden-house/
iQ Marsden House,iQ Student Accommodation,Silver Studio,223.0,947.75,11373,51,,,,"Marsden House, 1-3 Burley Road, Leeds, LS3 1JZ",https://www.mystudenthalls.com/student-accommodation/leeds/iq-marsden-house/
iQ Altus House,iQ Student Accommodation,Bronze En Suite,170.0,623.33,7480,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Bronze En Suite Plus,170.0,623.33,7480,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Bronze En Suite Premium,174.0,638.0,7656,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Gold En Suite,179.0,656.33,7876,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Gold En Suite Plus,181.0,663.67,7964,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Gold En Suite Premium,198.0,726.0,8712,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Silver En Suite Plus,175.0,641.67,7700,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Silver En Suite Premium,177.0,649.0,7788,44,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Bronze Studio,259.0,1100.75,13209,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Gold En Suite Access,181.0,769.25,9231,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Gold En Suite Deluxe,185.0,786.25,9435,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Gold Studio,268.0,1139.0,13668,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Penthouse En Suite,201.0,854.25,10251,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Penthouse En Suite Plus,215.0,913.75,10965,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Penthouse Studio,285.0,1211.25,14535,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Platinum En Suite,187.0,794.75,9537,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Platinum En Suite Deluxe,196.0,833.0,9996,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
